Site ID,M36/0473
Site Name,M36/0473
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M36/0473","20196920","02-Dec 2019 22:15pm","Difference in Ion Balance","<0.100","%"
"M36/0473","20196920","02-Dec 2019 22:15pm","Dissolved Oxygen","3.600","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Dissolved Oxygen Saturation","35.300","%"
"M36/0473","20196920","02-Dec 2019 22:15pm","Dissolved Reactive Phosphorus","0.0146","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","E. coli","<1","MPN/100mL"
"M36/0473","20196920","02-Dec 2019 22:15pm","Hardness, Total","47.000","g/m3 as CaCO3"
"M36/0473","20196920","02-Dec 2019 22:15pm","Iron, Dissolved","<0.020","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Magnesium, Dissolved","3.600","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Nitrate Nitrogen","0.500","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Oxidation Reduction Potential","175.400","mV"
"M36/0473","20196920","02-Dec 2019 22:15pm","pH","7.8",""
"M36/0473","20196920","02-Dec 2019 22:15pm","pH (Field)","7.13",""
"M36/0473","20196920","02-Dec 2019 22:15pm","Potassium, Dissolved","0.960","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Silica, Reactive","19.100","mg/L  as SiO2"
"M36/0473","20196920","02-Dec 2019 22:15pm","Sodium, Dissolved","8.600","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Sulphate","2.500","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Sum of anions","1.330","meq/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Sum of cations","1.330","meq/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Total Coliforms","<1.00","number/100mL"
"M36/0473","20196920","02-Dec 2019 22:15pm","Water Temperature (Field)","14.2","C"
"M36/0473","20196920","02-Dec 2019 22:15pm","Zinc, Dissolved","0.010","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Alkalinity, Total","52.0","g/m3 as CaCO3"
"M36/0473","20185931","07-Nov 2018 09:05am","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Bicarbonate","63.000","mg/L  at 25°C"
"M36/0473","20185931","07-Nov 2018 09:05am","Boron, Dissolved","0.022","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Bromide","0.019","g/m3"
"M36/0473","20185931","07-Nov 2018 09:05am","Calcium, Dissolved","12.700","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Chloride","6.000","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Conductivity","13.0","mS/m"
"M36/0473","20185931","07-Nov 2018 09:05am","Conductivity (Field)","12.95","mS/m"
"M36/0473","20185931","07-Nov 2018 09:05am","Difference in Ion Balance","0.460","%"
"M36/0473","20185931","07-Nov 2018 09:05am","Dissolved Oxygen","2.390","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Dissolved Oxygen Saturation","22.600","%"
"M36/0473","20185931","07-Nov 2018 09:05am","Dissolved Reactive Phosphorus","0.0139","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","E. coli","<1","MPN/100mL"
"M36/0473","20185931","07-Nov 2018 09:05am","Hardness, Total","46.000","g/m3 as CaCO3"
"M36/0473","20185931","07-Nov 2018 09:05am","Iron, Dissolved","<0.020","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Magnesium, Dissolved","3.500","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Nitrate Nitrogen","0.560","mg/L"
