ID,WELL_NO,Primary_Use,WGS84_LONGITUDE,WGS84_LATITUDE,WELL_URL
717,M35/7252,Domestic Supply,172.39063900512593,-43.40136269691213,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7252
720,M35/6690,Domestic Supply,172.38981134921866,-43.521166502384006,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6690
721,M35/1136,Domestic Supply,172.38981134921866,-43.521166502384006,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1136
722,M35/8319,Domestic Supply,172.39193786814704,-43.325694023052975,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/8319
723,M35/7375,Irrigation,172.3898572140309,-43.54253555147044,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7375
725,M36/4965,Irrigation,172.39130352085616,-43.65303957514055,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4965
728,M36/4150,Domestic Supply,172.3894636231912,-43.60532498857849,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4150
731,M35/7420,Irrigation,172.39001008190317,-43.526028204308105,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7420
733,M36/4037,Domestic Supply,172.38938714213597,-43.60554060755687,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4037
735,M35/7330,Domestic Supply,172.39027368757456,-43.52440938589948,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7330
736,M35/5082,Domestic Supply,172.3903223108581,-43.51954899241446,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5082
740,M36/5196,Irrigation,172.38871045189302,-43.65696826963149,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5196
744,M36/4090,Irrigation,172.38947964113152,-43.62845752086345,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4090
749,M35/7586,Domestic Supply,172.39086157842223,-43.52747290415447,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7586
750,M35/6885,Domestic Supply,172.39121830644893,-43.51405399346549,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6885
752,M36/5198,Irrigation,172.39005494289665,-43.66012566643124,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5198
755,M34/5560,Domestic Supply,172.6442233625523,-43.271824152020706,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M34/5560
756,M35/6310,Domestic Supply,172.3914268460623,-43.50803327436856,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6310
758,M35/6307,Domestic Supply,172.39149874266838,-43.500832659059476,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6307
761,M35/4524,Domestic Supply,172.39716409237127,-43.278526315472,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/4524
764,M35/7300,Irrigation,172.3915822515631,-43.524677344515375,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7300
770,M35/7336,Domestic Supply,172.39199464643056,-43.52549863273524,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7336
772,M35/1132,Irrigation,172.3921094846428,-43.5189463647616,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1132
779,M36/0570,Domestic Supply,172.39072811612246,-43.67588065334307,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/0570
781,M36/3029,Domestic Supply,172.3905305600347,-43.67331438307256,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3029
785,M35/2640,Irrigation,172.39249629014466,-43.50496050312487,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/2640
786,M35/0964,Irrigation,172.3910470926187,-43.500245186633514,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0964
787,M35/0090,Domestic Supply,172.39508634601484,-43.29421412923939,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0090
790,M35/7274,Domestic Supply,172.39264363092406,-43.52244165219991,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7274
796,M36/3977,Domestic Supply,172.3919946451915,-43.61235910383415,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3977
797,M36/5200,Irrigation,172.39161106017033,-43.663212149161836,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5200
799,M36/5057,Irrigation,172.3927215071124,-43.564297409516286,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5057
800,M35/7253,Domestic Supply,172.39432895571935,-43.402732475171916,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7253
808,M36/3623,Dairy Use,172.392502085721,-43.64845543891572,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3623
810,M36/2883,Domestic Supply,172.3928877715128,-43.609753525100885,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/2883
811,M36/3099,Domestic Supply,172.3928877715128,-43.609753525100885,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3099
816,M35/4930,Domestic Supply,172.39396273761065,-43.50174579371687,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/4930
820,M36/5267,Domestic Supply,172.3765854096178,-43.61704743763551,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5267
834,M35/0995,Domestic Supply,172.37777809686867,-43.512460886290384,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0995
837,M35/2755,Domestic Supply,172.37795266846354,-43.49535941481088,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/2755
838,M35/7269,Domestic Supply,172.37848652730162,-43.40304376079113,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7269
839,M35/7541,Irrigation,172.37997282056338,-43.3843737626473,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7541
840,M35/0042,Domestic Supply,172.37950324561731,-43.34324332634188,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0042
841,M35/5246,Domestic Supply,172.37953990863397,-43.33964290236799,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5246
842,M35/5247,Domestic Supply,172.37953990863397,-43.33964290236799,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5247
843,M35/0024,Domestic Supply,172.37966820984946,-43.32704139332655,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0024
844,M35/0072,Domestic Supply,172.38000089222592,-43.31858169561136,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0072
852,M35/0026,Domestic Supply,172.38063011387413,-43.31610966270708,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0026
853,M36/4387,Domestic Supply,172.37652317698195,-43.630395521092545,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4387
855,M35/1008,Irrigation,172.37815311935287,-43.53631614120263,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1008
858,M36/5028,Irrigation,172.37817859715113,-43.554435629637105,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5028
861,M36/4291,Domestic Supply,172.3778150599158,-43.61795416833664,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4291
865,M36/4140,Domestic Supply,172.37794997203466,-43.61687477839819,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4140
866,M36/5932,Domestic Supply,172.37836328772045,-43.5763723553474,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5932
870,M35/7168,Domestic Supply,172.37683401578136,-43.5443200620741,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7168
875,M35/7263,Domestic Supply,172.38031553385918,-43.38465466186662,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7263
877,M35/0078,Domestic Supply,172.38058098298865,-43.35855177528316,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0078
883,M34/0284,Domestic Supply,172.38180589713866,-43.2379366629677,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M34/0284
891,M36/5268,Domestic Supply,172.37879880726365,-43.61867954271294,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5268
