Year,Indicator,Units,RawValue,CenType,Value
2004,Nitrate nitrogen,mg/L,4.1,not,4.1
2004,Nitrate nitrogen,mg/L,4.1,not,4.1
2004,Chloride,mg/L,14,not,14.0
2004,Nitrate nitrogen,mg/L,4.3,not,4.3
2004,Nitrate nitrogen,mg/L,4.2,not,4.2
2004,Nitrate nitrogen,mg/L,4.3,not,4.3
2004,Chloride,mg/L,4.7,not,4.7
2004,Nitrate nitrogen,mg/L,4.3,not,4.3
2004,Chloride,mg/L,6.5,not,6.5
2004,Nitrate nitrogen,mg/L,4.3,not,4.3
2004,Nitrate nitrogen,mg/L,4.3,not,4.3
2004,Nitrate nitrogen,mg/L,4.2,not,4.2
